"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3671","It looks like the banking #royalcommission is already impacting jobs in the #finance &amp; #insurance services. But the… https://t.co/901xm5qQww",FALSE,0,NA,2019-01-30 01:10:04,TRUE,NA,"1090416822090956800",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","IndeedAU",0,FALSE,FALSE,NA,NA
"3672","RT @peacewithme2: @alexbhturnbull @PeterDutton_MP So...your saying after due diligence, forensic accounting, mandatory disclosures, regulat…",FALSE,0,NA,2019-01-30 00:33:07,FALSE,NA,"1090407524711391233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fehowarth",11,TRUE,FALSE,NA,NA
"3673","RT @RussellKennedy_: #AgedCare Alert: Royal Commission into Aged Care Quality and Safety – Next steps following Provider Survey, 30 Jan 201…",FALSE,0,NA,2019-01-30 00:04:51,FALSE,NA,"1090400411939262464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pully8",4,TRUE,FALSE,NA,NA
"3674","RT @peacewithme2: @alexbhturnbull @PeterDutton_MP So...your saying after due diligence, forensic accounting, mandatory disclosures, regulat…",FALSE,0,NA,2019-01-29 23:17:59,FALSE,NA,"1090388616562368512",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JmarrMarr",11,TRUE,FALSE,NA,NA
"3675","@choiceaustralia looks like we will need a #RoyalCommission into the #bankingRC ! Why would @choiceaustralia back c… https://t.co/iyQ0jdj5Wc",FALSE,1,"choiceaustralia",2019-01-29 23:14:02,TRUE,NA,"1090387625276465153","15241033","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BankingWatchdog",0,FALSE,FALSE,NA,NA
"3676","ASIC takes strong stance to “litigate first” following the Financial Services Royal Commission. Read the latest art… https://t.co/FeCwqmvI7W",FALSE,0,NA,2019-01-29 23:12:25,TRUE,NA,"1090387217086787584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pop_coms",0,FALSE,FALSE,NA,NA
"3677","ASIC takes strong stance to “litigate first” following the Financial Services Royal Commission. Read the latest art… https://t.co/wi6AaXuaph",FALSE,0,NA,2019-01-29 23:09:20,TRUE,NA,"1090386439790043136",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","McCabeCurwood",0,FALSE,FALSE,NA,NA
"3678","RT @VMIAC: VMIAC made a strong submission to the #MentalHealth #RoyalCommission terms of reference last week. Thank you to the many consume…",FALSE,0,NA,2019-01-29 22:44:41,FALSE,NA,"1090380236376571905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ANZSWWER",15,TRUE,FALSE,NA,NA
"3679","If any #BankingRC recommendations favour Matt Commyn’s agenda that was on display at the #royalcommission then It w… https://t.co/3TGWG2JSQf",FALSE,2,NA,2019-01-29 22:41:33,TRUE,NA,"1090379449516736512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BankingWatchdog",0,FALSE,FALSE,NA,NA
"3680","RT @polinapara: Join us next week for a 5 part series looking at the Royal Commission into the Banking Industry. For the past year Commissi…",FALSE,0,NA,2019-01-29 22:35:52,FALSE,NA,"1090378017421942784",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","wfjp",1,TRUE,FALSE,NA,NA
